# lag   <C(lag)>_blocks   <C_norm(lag)>_blocks
     176   4.040639411586E+00   1.454956026272E-02
     177   8.204674102599E+00   2.573244002606E-02
     178   1.217919058998E+01   3.617954982006E-02
     179   1.431241807249E+01   4.143510389340E-02
     180   1.331202487317E+01   3.809739659163E-02
     181   9.133408805021E+00   2.617176769320E-02
     182   3.290357003553E+00   9.854565648682E-03
     183  -1.776172515196E+00  -4.207100157131E-03
     184  -4.082922778198E+00  -1.065985824151E-02
     185  -3.325916952181E+00  -8.753266623692E-03
     186  -8.862040922058E-01  -2.337397710084E-03
     187   1.362950887483E+00   3.449429044298E-03
     188   2.277740777079E+00   5.570740244371E-03
     189   1.713168718422E+00   3.788338990772E-03
     190   9.140120379999E-02  -6.331100717553E-04
     191  -2.099283500419E+00  -6.356572739603E-03
     192  -4.430082586200E+00  -1.228597015600E-02
     193  -6.480723716261E+00  -1.737046697964E-02
     194  -7.981084392561E+00  -2.094938198369E-02
     195  -8.860221180065E+00  -2.287763410523E-02
     196  -9.027441757859E+00  -2.295669572535E-02
     197  -8.254592588816E+00  -2.062463712222E-02
     198  -6.442273538238E+00  -1.563685396174E-02
     199  -3.963964777952E+00  -8.965540030923E-03
     200  -1.594583235773E+00  -2.644431028874E-03
     201  -1.620373256743E-01   1.112561245391E-03
     202  -2.901359333424E-01   5.993145909885E-04
     203  -2.110181586978E+00  -4.569838561784E-03
     204  -4.938000439859E+00  -1.257053887584E-02
     205  -7.418059475591E+00  -1.974495830895E-02
     206  -8.346870844209E+00  -2.279565251511E-02
     207  -7.515499732293E+00  -2.105373882672E-02
     208  -5.682085493037E+00  -1.644226227619E-02
     209  -3.871665094257E+00  -1.166494651036E-02
     210  -2.532041443696E+00  -7.955366741082E-03
     211  -1.321092417298E+00  -4.464076421298E-03
     212   3.833051031845E-01   4.036693201040E-04
     213   2.834662897376E+00   7.249399031187E-03
     214   5.674077706739E+00   1.502616779328E-02
     215   8.285635619746E+00   2.203221251989E-02
     216   1.028081034315E+01   2.726048991261E-02
     217   1.152775922962E+01   3.047648732693E-02
     218   1.199078867932E+01   3.173599840283E-02
     219   1.160637312752E+01   3.094154162367E-02
     220   1.034685570127E+01   2.794514604360E-02
     221   8.369798756452E+00   2.300032954839E-02
     222   6.079822446264E+00   1.706067269093E-02
     223   4.086238663325E+00   1.175325770777E-02
     224   2.891940692649E+00   8.498294460409E-03
     225   2.549326843704E+00   7.488835827333E-03
     226   2.826161544632E+00   8.107829306908E-03
     227   3.572274818488E+00   9.936656445052E-03
     228   4.754959352429E+00   1.286815872922E-02
     229   6.268198926258E+00   1.661263740111E-02
     230   7.858859650906E+00   2.052029273060E-02
     231   9.231583730493E+00   2.386315376995E-02
     232   1.006798142438E+01   2.584223392751E-02
     233   1.009507754060E+01   2.572787139851E-02
     234   9.243639940944E+00   2.329037599260E-02
     235   7.666966784230E+00   1.889492521128E-02
     236   5.623338290133E+00   1.322530979734E-02
     237   3.506260597599E+00   7.372221211473E-03
     238   1.976550660674E+00   3.158439963038E-03
     239   1.804424540151E+00   2.665062484237E-03
     240   3.389218272971E+00   6.944817060792E-03
     241   6.330593182882E+00   1.492600573276E-02
     242   9.517180633489E+00   2.367241681206E-02
     243   1.164995698679E+01   2.973158888697E-02
     244   1.186967483374E+01   3.077824100454E-02
     245   1.011417560320E+01   2.659454542182E-02
     246   6.906639248488E+00   1.852606052088E-02
     247   2.916177943907E+00   8.315115392981E-03
     248  -1.137605375623E+00  -2.149253463592E-03
     249  -4.499017180410E+00  -1.086879374262E-02
     250  -6.655026469274E+00  -1.650161796440E-02
     251  -7.629655989950E+00  -1.916119276783E-02
     252  -7.908360247778E+00  -2.017079360969E-02
     253  -8.029413902405E+00  -2.091227171618E-02
     254  -8.117409695909E+00  -2.158331523478E-02
     255  -7.836665273703E+00  -2.116933149826E-02
     256  -6.884200747815E+00  -1.885732333352E-02
     257  -5.583708481950E+00  -1.562558890907E-02
     258  -4.888037167139E+00  -1.416909145465E-02
     259  -5.641092854364E+00  -1.682486672799E-02
     260  -7.848716994890E+00  -2.355895896575E-02
     261  -1.064603347723E+01  -3.189444662332E-02
     262  -1.287199050556E+01  -3.853397593380E-02
     263  -1.368299419092E+01  -4.108974311340E-02
     264  -1.284223000491E+01  -3.887958018530E-02
     265  -1.073975047448E+01  -3.295497761105E-02
     266  -8.169636780380E+00  -2.548171655903E-02
     267  -5.889961189797E+00  -1.854583660263E-02
     268  -4.406072788490E+00  -1.357984419406E-02
     269  -4.002888138500E+00  -1.146482846682E-02
     270  -4.762881691759E+00  -1.257043377313E-02
     271  -6.416083773471E+00  -1.632538519585E-02
     272  -8.328111972004E+00  -2.116975955007E-02
     273  -9.764476921923E+00  -2.522806505686E-02
     274  -1.010762065346E+01  -2.679580909926E-02
     275  -9.132340184572E+00  -2.502636559044E-02
     276  -7.337655242459E+00  -2.093161722138E-02
     277  -5.855723520648E+00  -1.733549433827E-02
     278  -5.721075633722E+00  -1.703296373086E-02
     279  -7.127900517273E+00  -2.073910382702E-02
     280  -9.302383750463E+00  -2.655754135749E-02
     281  -1.101326635780E+01  -3.119568255980E-02
     282  -1.130170271539E+01  -3.193799436331E-02
     283  -9.896519897501E+00  -2.790449749411E-02
     284  -7.214538141904E+00  -2.017878862469E-02
     285  -4.087601248867E+00  -1.111027736836E-02
     286  -1.326237131734E+00  -3.080466660315E-03
     287   6.975933841765E-01   2.735208884354E-03
     288   2.076653415555E+00   6.523571440449E-03
     289   2.983333526709E+00   8.801038401854E-03
     290   3.385808748285E+00   9.578606637523E-03
     291   3.086644938331E+00   8.403957133832E-03
     292   2.027335613178E+00   5.172940976946E-03
     293   5.278089658241E-01   8.062265036455E-04
     294  -9.037196833257E-01  -3.226249046519E-03
     295  -1.976971469142E+00  -6.009457329781E-03
     296  -2.650786182532E+00  -7.347318050695E-03
     297  -2.829766074093E+00  -7.037616267484E-03
     298  -2.274250375772E+00  -4.645566628433E-03
     299  -8.860436485613E-01  -1.978535603892E-04
     300   9.425999277257E-01   4.994144849650E-03
     301   2.395156862796E+00   8.619300644906E-03
     302   2.641594788965E+00   8.524889207734E-03
     303   1.260168453748E+00   3.814716696002E-03
     304  -1.524191569259E+00  -4.612693905176E-03
     305  -4.817202562734E+00  -1.410057202563E-02
     306  -7.354551522058E+00  -2.110824154617E-02
     307  -8.096752725925E+00  -2.285527101029E-02
     308  -6.719627466274E+00  -1.861869806494E-02
     309  -3.723137323601E+00  -9.940666789712E-03
     310  -1.348107478365E-01   2.419457726068E-04
     311   2.951024362732E+00   8.868342563251E-03
     312   4.675951228724E+00   1.358666139150E-02
     313   4.509028420294E+00   1.300911775014E-02
     314   2.550525148422E+00   7.518382236829E-03
