# lag   C(lag)   C_norm(lag)
     134  -1.036031909708E-05  -8.131978529593E-04
     135  -1.280949917701E-04  -1.005437876056E-02
     136  -2.233865238185E-04  -1.753396201865E-02
     137  -2.766020511366E-04  -2.171093303214E-02
     138  -2.808744092194E-04  -2.204627718395E-02
     139  -2.417818136330E-04  -1.897783744772E-02
     140  -1.700881869694E-04  -1.335049115391E-02
     141  -7.808946217632E-05  -6.129365551918E-03
     142   1.937170272769E-05   1.520515624925E-03
     143   1.062564621633E-04   8.340237987325E-03
     144   1.709025194097E-04   1.341440939676E-02
     145   2.104197795008E-04   1.651618172247E-02
     146   2.308347918295E-04   1.811858837021E-02
     147   2.440022951427E-04   1.915212655787E-02
     148   2.603196661083E-04   2.043290284582E-02
     149   2.783302407343E-04   2.184658137050E-02
     150   2.829657729802E-04   2.221043163750E-02
     151   2.575598576953E-04   2.021628111293E-02
     152   1.997227949700E-04   1.567655846647E-02
     153   1.266034961839E-04   9.937308909998E-03
     154   6.409895056727E-05   5.031228139771E-03
     155   2.990045101876E-05   2.346933752052E-03
     156   2.450785839943E-05   1.923660617428E-03
     157   3.604576343519E-05   2.829289055588E-03
     158   5.003889958832E-05   3.927632472356E-03
     159   5.535846008156E-05   4.345173199747E-03
     160   4.624250436274E-05   3.629647398972E-03
     161   2.448510026418E-05   1.921874295352E-03
     162  -5.793447490947E-07  -4.547368683072E-05
     163  -2.000949677428E-05  -1.570577089679E-03
     164  -3.327374019000E-05  -2.611708561183E-03
     165  -4.573385445557E-05  -3.589722662239E-03
     166  -5.841706700528E-05  -4.585248100926E-03
     167  -6.084242453486E-05  -4.775618254319E-03
     168  -3.613549195104E-05  -2.836331988895E-03
     169   2.523954411426E-05   1.981091787913E-03
     170   1.180180433226E-04   9.263423118641E-03
     171   2.264234618305E-04   1.777233609262E-02
     172   3.315260900326E-04   2.602200782507E-02
     173   4.181458318909E-04   3.282092853813E-02
     174   4.824643156750E-04   3.786938818775E-02
     175   5.332282493270E-04   4.185392973196E-02
     176   5.821323629461E-04   4.569249105650E-02
     177   6.306735582152E-04   4.950256634502E-02
     178   6.638319293096E-04   5.210521940318E-02
     179   6.557160235776E-04   5.146818910959E-02
     180   5.853999907243E-04   4.594897233556E-02
     181   4.542727457629E-04   3.565658722002E-02
     182   2.910744951703E-04   2.284689808352E-02
     183   1.395252049813E-04   1.095155429686E-02
     184   3.520172162823E-05   2.763038877501E-03
     185  -1.409844624059E-05  -1.106609372306E-03
