# lag   <C(lag)>_blocks   <C_norm(lag)>_blocks
     111   1.078076328278E-03   8.261456910901E-02
     112   1.133629428116E-03   8.696729290767E-02
     113   1.136286091706E-03   8.722453318392E-02
     114   1.101229440617E-03   8.455522501695E-02
     115   1.042572335444E-03   8.005710985791E-02
     116   9.685154160183E-04   7.436888559770E-02
     117   8.851046064388E-04   6.795328212475E-02
     118   7.981995322387E-04   6.125742124801E-02
     119   7.113537147275E-04   5.455049572882E-02
     120   6.259125772058E-04   4.793373969566E-02
     121   5.451120157839E-04   4.167039432028E-02
     122   4.755963109548E-04   3.629926229856E-02
     123   4.230319307224E-04   3.226393713895E-02
     124   3.886162407237E-04   2.961830171695E-02
     125   3.707399577864E-04   2.817405480671E-02
     126   3.660616690336E-04   2.764273838699E-02
     127   3.682525642062E-04   2.758014402311E-02
     128   3.697125468722E-04   2.748695901389E-02
     129   3.626806347332E-04   2.682997536848E-02
     130   3.380207987164E-04   2.492406951185E-02
     131   2.879833598195E-04   2.115808844743E-02
     132   2.101519810496E-04   1.531833640046E-02
     133   1.076645464622E-04   7.623468059487E-03
     134  -8.871972402800E-06  -1.123504590607E-03
     135  -1.196488373048E-04  -9.399214382522E-03
     136  -1.996524004718E-04  -1.525955719585E-02
     137  -2.293674884712E-04  -1.717382057351E-02
     138  -2.055718265326E-04  -1.489042708399E-02
     139  -1.403103604870E-04  -9.380537470554E-03
     140  -4.977378766818E-05  -1.962484357356E-03
     141   5.278577817365E-05   6.280411480456E-03
     142   1.548406217288E-04   1.434997157268E-02
     143   2.422716779572E-04   2.115306956375E-02
     144   3.024918174958E-04   2.572611768380E-02
     145   3.292878058818E-04   2.760454548110E-02
     146   3.259508926597E-04   2.708618867619E-02
     147   3.057910577420E-04   2.527948273329E-02
     148   2.862943354663E-04   2.362346319884E-02
     149   2.741791614382E-04   2.269490116305E-02
     150   2.563494442780E-04   2.148072759953E-02
     151   2.122279456009E-04   1.832538786992E-02
     152   1.355230964400E-04   1.264973998010E-02
     153   4.136103655618E-05   5.553712433994E-03
     154  -4.586965762653E-05  -1.111319002431E-03
     155  -1.096779833008E-04  -6.090292910622E-03
     156  -1.497557664674E-04  -9.371840220288E-03
     157  -1.760322044340E-04  -1.172227969266E-02
     158  -1.990649389059E-04  -1.394154590679E-02
     159  -2.259509569523E-04  -1.656824277086E-02
     160  -2.598007523624E-04  -1.984740529343E-02
     161  -2.978333986699E-04  -2.353650258276E-02
     162  -3.306732964233E-04  -2.681407034635E-02
     163  -3.508095937434E-04  -2.897728735592E-02
     164  -3.610901541077E-04  -3.018249229877E-02
     165  -3.697648433614E-04  -3.109252253939E-02
     166  -3.786952621239E-04  -3.190633688434E-02
     167  -3.772783517729E-04  -3.180841214238E-02
     168  -3.496450222477E-04  -2.951129888037E-02
     169  -2.884845183888E-04  -2.439822026143E-02
     170  -2.004422194884E-04  -1.701103299871E-02
     171  -1.006226487071E-04  -8.611467650465E-03
     172  -3.682542093696E-06  -4.393837285158E-04
     173   8.333632450488E-05   6.881330551862E-03
     174   1.641280027508E-04   1.360641376252E-02
     175   2.484583664881E-04   2.049178299151E-02
     176   3.424302730709E-04   2.798429390943E-02
     177   4.397654339187E-04   3.552173262758E-02
     178   5.180058934953E-04   4.128025560036E-02
     179   5.461286100431E-04   4.283254187244E-02
     180   5.010770157630E-04   3.847041608809E-02
     181   3.830148488591E-04   2.836715890739E-02
     182   2.195239713426E-04   1.483824780158E-02
     183   5.650761808216E-05   1.575394105562E-03
     184  -6.535544672527E-05  -8.204248603948E-03
     185  -1.342036490810E-04  -1.359867940297E-02
     186  -1.696266204752E-04  -1.620960484179E-02
     187  -2.027946385946E-04  -1.854336905142E-02
     188  -2.548650092167E-04  -2.228633425338E-02
     189  -3.323801680710E-04  -2.794874992714E-02
     190  -4.329412894937E-04  -3.534226383833E-02
     191  -5.492355082208E-04  -4.391564632871E-02
     192  -6.711023940150E-04  -5.290309670529E-02
     193  -7.889118830641E-04  -6.156892289234E-02
     194  -8.957213260351E-04  -6.938673988937E-02
     195  -9.863907622183E-04  -7.599020736586E-02
     196  -1.053414731152E-03  -8.084360995319E-02
     197  -1.087056934222E-03  -8.321981850216E-02
     198  -1.084586538082E-03  -8.289451388184E-02
     199  -1.055544306618E-03  -8.058542432664E-02
     200  -1.018640385677E-03  -7.774835083645E-02
     201  -9.939093391357E-04  -7.597419512027E-02
     202  -9.961841425988E-04  -7.645711256441E-02
     203  -1.030083765379E-03  -7.956458808317E-02
     204  -1.084338403253E-03  -8.436931903055E-02
     205  -1.134130832473E-03  -8.882998214635E-02
     206  -1.156770444513E-03  -9.104357154033E-02
     207  -1.144255143841E-03  -9.029621661264E-02
     208  -1.103756543073E-03  -8.715050016093E-02
     209  -1.049650463545E-03  -8.278746960634E-02
     210  -9.903708808913E-04  -7.791703647754E-02
     211  -9.233255590682E-04  -7.235546827213E-02
     212  -8.414862011186E-04  -6.558035918709E-02
     213  -7.428437298713E-04  -5.751620394795E-02
     214  -6.348832282060E-04  -4.885941445466E-02
