# lag   C(lag)   C_norm(lag)
      59   3.471468675736E+01   9.062411171042E-02
      60   3.405143670876E+01   8.889267029150E-02
      61   3.569567391666E+01   9.318501887148E-02
      62   3.863383904059E+01   1.008552192762E-01
      63   4.142953303642E+01   1.081534929652E-01
      64   4.281617720049E+01   1.117733843532E-01
      65   4.212445493770E+01   1.099676150529E-01
      66   3.951960540943E+01   1.031675486634E-01
      67   3.595695941475E+01   9.386711536661E-02
      68   3.278241079618E+01   8.557982616679E-02
      69   3.105996034036E+01   8.108329869947E-02
      70   3.093105413924E+01   8.074678378139E-02
      71   3.142845794419E+01   8.204527678812E-02
      72   3.100356684575E+01   8.093608117190E-02
      73   2.858558936056E+01   7.462385190527E-02
      74   2.446466342086E+01   6.386600594458E-02
      75   2.026849406902E+01   5.291173397447E-02
      76   1.794968228617E+01   4.685838083571E-02
      77   1.856483254137E+01   4.846425577375E-02
      78   2.176143306146E+01   5.680911236574E-02
      79   2.614479732766E+01   6.825206432736E-02
      80   3.006417009999E+01   7.848374748893E-02
      81   3.233044863611E+01   8.439996043534E-02
      82   3.256207192352E+01   8.500462251452E-02
      83   3.101799524298E+01   8.097374709385E-02
      84   2.815813403557E+01   7.350796227061E-02
      85   2.439968931431E+01   6.369638837806E-02
      86   2.016074730680E+01   5.263045663834E-02
      87   1.597171430086E+01   4.169481439153E-02
      88   1.246241508958E+01   3.253364505788E-02
      89   1.024337354098E+01   2.674074620225E-02
      90   9.799795961909E+00   2.558276876293E-02
      91   1.126895085025E+01   2.941805777624E-02
      92   1.411662848370E+01   3.685203688061E-02
      93   1.715141631482E+01   4.477447482014E-02
      94   1.903634765775E+01   4.969516529854E-02
      95   1.886928618420E+01   4.925904447893E-02
      96   1.654459433701E+01   4.319034119132E-02
      97   1.290494129709E+01   3.368887784867E-02
      98   9.436887797013E+00   2.463538213358E-02
      99   7.390644741130E+00   1.929358082110E-02
     100   7.043348893284E+00   1.838695078489E-02
     101   7.835057636134E+00   2.045373888687E-02
     102   9.072725092570E+00   2.368472047735E-02
     103   1.043163384530E+01   2.723220743791E-02
     104   1.198676524195E+01   3.129194164780E-02
     105   1.404691862586E+01   3.667005644139E-02
     106   1.706188351841E+01   4.454074578780E-02
     107   2.145874481821E+01   5.601893230849E-02
     108   2.719402029169E+01   7.099110385165E-02
     109   3.339303104448E+01   8.717387533629E-02
     110   3.865979011943E+01   1.009229656304E-01
     111   4.187639672590E+01   1.093200489304E-01
     112   4.272367737754E+01   1.115319097765E-01
     113   4.167946998693E+01   1.088059636121E-01
     114   3.968031118264E+01   1.035870776670E-01
     115   3.754997737863E+01   9.802575401211E-02
     116   3.562606602280E+01   9.300330461337E-02
     117   3.393979295067E+01   8.860121968803E-02
     118   3.247701422604E+01   8.478257591125E-02
     119   3.111924659357E+01   8.123806789187E-02
     120   2.962318540322E+01   7.733253887508E-02
     121   2.788862058436E+01   7.280438636684E-02
     122   2.611686092433E+01   6.817913520220E-02
     123   2.464836080823E+01   6.434555549864E-02
     124   2.375792911771E+01   6.202104709803E-02
     125   2.357764271725E+01   6.155040206502E-02
     126   2.404764538950E+01   6.277736329244E-02
     127   2.493646807254E+01   6.509767131312E-02
     128   2.596037255305E+01   6.777061589913E-02
     129   2.685376968917E+01   7.010286571695E-02
     130   2.736853385411E+01   7.144667865450E-02
     131   2.728469109377E+01   7.122780369440E-02
     132   2.638861485633E+01   6.888855997284E-02
     133   2.447013214018E+01   6.388028226035E-02
     134   2.154936243114E+01   5.625549329877E-02
     135   1.819661379711E+01   4.750300565944E-02
     136   1.546163744446E+01   4.036323786489E-02
     137   1.428924004423E+01   3.730264642963E-02
     138   1.495535493669E+01   3.904156664078E-02
     139   1.708071005663E+01   4.458989323695E-02
     140   2.009215453638E+01   5.245139240156E-02
     141   2.348733348826E+01   6.131464612362E-02
     142   2.672752852004E+01   6.977330797403E-02
     143   2.919544652441E+01   7.621590901156E-02
     144   3.043135800740E+01   7.944230656143E-02
     145   3.041982129679E+01   7.941218950584E-02
     146   2.966303590826E+01   7.743657025079E-02
     147   2.899225063586E+01   7.568545782150E-02
     148   2.909865570410E+01   7.596323261053E-02
     149   2.993417819384E+01   7.814439829339E-02
     150   3.058621162134E+01   7.984655826351E-02
     151   2.996717188031E+01   7.823052966338E-02
     152   2.778524079162E+01   7.253450918339E-02
     153   2.490286398904E+01   6.500994647673E-02
     154   2.272546826182E+01   5.932576574363E-02
     155   2.219395386613E+01   5.793822564261E-02
     156   2.324472187080E+01   6.068129855876E-02
     157   2.505216154813E+01   6.539969387002E-02
     158   2.666065214466E+01   6.959872445682E-02
     159   2.738386321255E+01   7.148669657261E-02
     160   2.690070495586E+01   7.022539215312E-02
     161   2.539967058825E+01   6.630688045339E-02
     162   2.354838412283E+01   6.147402130583E-02
     163   2.194038727618E+01   5.727627967332E-02
     164   2.058616703217E+01   5.374103225681E-02
     165   1.908071240704E+01   4.981098129377E-02
     166   1.726411669326E+01   4.506868377430E-02
     167   1.571152342012E+01   4.101557543980E-02
     168   1.544598523831E+01   4.032237713963E-02
     169   1.707006081243E+01   4.456209294877E-02
     170   2.029668875068E+01   5.298533734581E-02
     171   2.425795520677E+01   6.332638568483E-02
     172   2.795665060649E+01   7.298198152615E-02
     173   3.060499951803E+01   7.989560483737E-02
     174   3.208123635330E+01   8.374938156322E-02
     175   3.308358901225E+01   8.636606423625E-02
     176   3.453686589469E+01   9.015990306478E-02
     177   3.672925434817E+01   9.588322292388E-02
     178   3.889422837032E+01   1.015349762871E-01
     179   3.956138003362E+01   1.032766030310E-01
     180   3.749500838872E+01   9.788225521239E-02
     181   3.264833397634E+01   8.522981313676E-02
     182   2.647429764579E+01   6.911223840435E-02
     183   2.127529286231E+01   5.554002346332E-02
     184   1.888162378974E+01   4.929125230355E-02
     185   1.952104055826E+01   5.096047596858E-02
     186   2.180736347859E+01   5.692901560100E-02
     187   2.388819885343E+01   6.236112157903E-02
     188   2.459787115044E+01   6.421375017890E-02
     189   2.375850942706E+01   6.202256201936E-02
     190   2.186754554996E+01   5.708612336340E-02
     191   1.963970732274E+01   5.127026041790E-02
     192   1.766804410061E+01   4.612315281625E-02
     193   1.621890741725E+01   4.234012214701E-02
     194   1.516696587220E+01   3.959398565561E-02
     195   1.426118593052E+01   3.722941001668E-02
     196   1.357421437169E+01   3.543604262366E-02
     197   1.355952780837E+01   3.539770274856E-02
     198   1.452226318224E+01   3.791096287615E-02
     199   1.614680734356E+01   4.215190195140E-02
     200   1.767575395063E+01   4.614327969553E-02
     201   1.841720779292E+01   4.807887532112E-02
     202   1.803584464521E+01   4.708331120321E-02
     203   1.668121627787E+01   4.354699836404E-02
     204   1.508499926847E+01   3.938000847920E-02
     205   1.433330341844E+01   3.741767567288E-02
     206   1.516598382726E+01   3.959142198707E-02
     207   1.739901699088E+01   4.542084652683E-02
     208   2.010046009832E+01   5.247307441122E-02
     209   2.234777903686E+01   5.833979255155E-02
     210   2.387135178817E+01   6.231714162510E-02
     211   2.501292198418E+01   6.529725738105E-02
     212   2.617414725700E+01   6.832868352011E-02
     213   2.743675826605E+01   7.162478127638E-02
     214   2.861215107206E+01   7.469319234112E-02
     215   2.953890987208E+01   7.711253414908E-02
     216   3.029849352423E+01   7.909545838591E-02
     217   3.104802123542E+01   8.105213117699E-02
     218   3.167047558986E+01   8.267707376529E-02
     219   3.174109713041E+01   8.286143418959E-02
     220   3.084164794595E+01   8.051338525169E-02
