# lag   C(lag)   C_norm(lag)
     115   6.675551533979E-05   9.802575401211E-02
     116   6.333522848497E-05   9.300330461337E-02
     117   6.033740969008E-05   8.860121968803E-02
     118   5.773691417962E-05   8.478257591125E-02
     119   5.532310505524E-05   8.123806789187E-02
     120   5.266344071684E-05   7.733253887508E-02
     121   4.957976992776E-05   7.280438636684E-02
     122   4.642997497659E-05   6.817913520219E-02
     123   4.381930810352E-05   6.434555549864E-02
     124   4.223631843149E-05   6.202104709803E-02
     125   4.191580927512E-05   6.155040206502E-02
     126   4.275136958133E-05   6.277736329244E-02
     127   4.433149879562E-05   6.509767131312E-02
     128   4.615177342765E-05   6.777061589913E-02
     129   4.774003500297E-05   7.010286571695E-02
     130   4.865517129619E-05   7.144667865450E-02
     131   4.850611750004E-05   7.122780369440E-02
     132   4.691309307792E-05   6.888855997284E-02
     133   4.350245713809E-05   6.388028226035E-02
     134   3.830997765536E-05   5.625549329877E-02
     135   3.234953563930E-05   4.750300565944E-02
     136   2.748735545682E-05   4.036323786489E-02
     137   2.540309341196E-05   3.730264642962E-02
     138   2.658729766522E-05   3.904156664078E-02
     139   3.036570676734E-05   4.458989323695E-02
     140   3.571938584244E-05   5.245139240155E-02
     141   4.175525953468E-05   6.131464612362E-02
     142   4.751560625785E-05   6.977330797403E-02
     143   5.190301604340E-05   7.621590901155E-02
     144   5.410019201315E-05   7.944230656143E-02
     145   5.407968230541E-05   7.941218950584E-02
     146   5.273428605913E-05   7.743657025078E-02
     147   5.154177890820E-05   7.568545782149E-02
     148   5.173094347395E-05   7.596323261053E-02
     149   5.321631678904E-05   7.814439829339E-02
     150   5.437548732683E-05   7.984655826350E-02
     151   5.327497223166E-05   7.823052966337E-02
     152   4.939598362954E-05   7.253450918338E-02
     153   4.427175820274E-05   6.500994647673E-02
     154   4.040083246545E-05   5.932576574362E-02
     155   3.945591798424E-05   5.793822564260E-02
     156   4.132394999254E-05   6.068129855875E-02
     157   4.453717608556E-05   6.539969387001E-02
     158   4.739671492384E-05   6.959872445682E-02
     159   4.868242348897E-05   7.148669657261E-02
     160   4.782347547708E-05   7.022539215312E-02
     161   4.515496993466E-05   6.630688045339E-02
     162   4.186379399614E-05   6.147402130583E-02
     163   3.900513293543E-05   5.727627967332E-02
     164   3.659763027941E-05   5.374103225681E-02
     165   3.392126650141E-05   4.981098129377E-02
     166   3.069176301023E-05   4.506868377430E-02
     167   2.793159719132E-05   4.101557543979E-02
     168   2.745952931256E-05   4.032237713962E-02
     169   3.034677477765E-05   4.456209294877E-02
     170   3.608300222342E-05   5.298533734581E-02
     171   4.312525370093E-05   6.332638568483E-02
     172   4.970071218932E-05   7.298198152615E-02
     173   5.440888803206E-05   7.989560483737E-02
     174   5.703330907254E-05   8.374938156322E-02
     175   5.881526935511E-05   8.636606423625E-02
     176   6.139887270167E-05   9.015990306477E-02
     177   6.529645217452E-05   9.588322292388E-02
     178   6.914529488057E-05   1.015349762871E-01
     179   7.033134228200E-05   1.032766030310E-01
     180   6.665779269105E-05   9.788225521238E-02
     181   5.804148262461E-05   8.522981313676E-02
     182   4.706541803697E-05   6.911223840435E-02
     183   3.782274286633E-05   5.554002346332E-02
     184   3.356733118176E-05   4.929125230355E-02
     185   3.470407210357E-05   5.096047596857E-02
     186   3.876864618417E-05   5.692901560100E-02
     187   4.246790907276E-05   6.236112157902E-02
     188   4.372954871190E-05   6.421375017890E-02
     189   4.223735009256E-05   6.202256201936E-02
     190   3.887563653327E-05   5.708612336340E-02
     191   3.491503524042E-05   5.127026041790E-02
     192   3.140985617886E-05   4.612315281625E-02
     193   2.883361318623E-05   4.234012214701E-02
     194   2.696349488390E-05   3.959398565561E-02
     195   2.535321943204E-05   3.722941001668E-02
     196   2.413193666077E-05   3.543604262365E-02
     197   2.410582721488E-05   3.539770274856E-02
     198   2.581735676843E-05   3.791096287615E-02
     199   2.870543527745E-05   4.215190195139E-02
     200   3.142356257890E-05   4.614327969553E-02
     201   3.274170274296E-05   4.807887532112E-02
     202   3.206372381370E-05   4.708331120321E-02
     203   2.965549560509E-05   4.354699836404E-02
     204   2.681777647728E-05   3.938000847919E-02
     205   2.548142829946E-05   3.741767567287E-02
     206   2.696174902623E-05   3.959142198707E-02
     207   3.093158576156E-05   4.542084652682E-02
     208   3.573415128590E-05   5.247307441121E-02
     209   3.972938495442E-05   5.833979255155E-02
     210   4.243795873452E-05   6.231714162510E-02
     211   4.446741686076E-05   6.529725738105E-02
     212   4.653181734578E-05   6.832868352011E-02
     213   4.877645913964E-05   7.162478127637E-02
     214   5.086604635032E-05   7.469319234112E-02
     215   5.251361755037E-05   7.711253414908E-02
     216   5.386398848751E-05   7.909545838591E-02
     217   5.519648219630E-05   8.105213117699E-02
     218   5.630306771530E-05   8.267707376529E-02
     219   5.642861712073E-05   8.286143418959E-02
     220   5.482959634836E-05   8.051338525169E-02
     221   5.123234618526E-05   7.523107774777E-02
     222   4.601706609355E-05   6.757280770413E-02
     223   4.025855779469E-05   5.911684544981E-02
     224   3.530335291024E-05   5.184047745818E-02
     225   3.207331365067E-05   4.709739320070E-02
     226   3.092660188706E-05   4.541352805952E-02
     227   3.200758370197E-05   4.700087341879E-02
     228   3.520991352630E-05   5.170326832994E-02
     229   3.993061932045E-05   5.863529098883E-02
     230   4.522217806140E-05   6.640557083523E-02
     231   5.011900971130E-05   7.359622185948E-02
     232   5.377809262839E-05   7.896932639046E-02
     233   5.558928832113E-05   8.162893919610E-02
     234   5.523173807394E-05   8.110390194038E-02
     235   5.253484749021E-05   7.714370881457E-02
     236   4.758723040630E-05   6.987848297151E-02
     237   4.123919142691E-05   6.055683659839E-02
     238   3.537822893262E-05   5.195042760259E-02
     239   3.230957656202E-05   4.744432857994E-02
     240   3.343578816746E-05   4.909809068841E-02
     241   3.834092566189E-05   5.630093825804E-02
     242   4.505624757629E-05   6.616191365075E-02
     243   5.111406227609E-05   7.505738619097E-02
     244   5.452825741504E-05   8.007089033571E-02
     245   5.424103092150E-05   7.964911853965E-02
     246   5.010494481468E-05   7.357556855331E-02
     247   4.290460654911E-05   6.300238094429E-02
     248   3.453886902516E-05   5.071788692940E-02
     249   2.760213333806E-05   4.053178106759E-02
     250   2.411016976861E-05   3.540407948165E-02
     251   2.436825062775E-05   3.578305297447E-02
     252   2.699937095450E-05   3.964666712849E-02
     253   3.001011104252E-05   4.406772605913E-02
     254   3.200658486889E-05   4.699940670303E-02
     255   3.267369132007E-05   4.797900535568E-02
     256   3.227373559817E-05   4.739169865883E-02
     257   3.078590225431E-05   4.520692059767E-02
     258   2.764677295408E-05   4.059733118726E-02
     259   2.248090798337E-05   3.301162375468E-02
     260   1.608256423406E-05   2.361610838396E-02
     261   1.052104872500E-05   1.544941611216E-02
     262   8.080141636193E-06   1.186511664813E-02
     263   9.913899309645E-06   1.455786012708E-02
     264   1.544707382796E-05   2.268293565796E-02
     265   2.271110414581E-05   3.334965054211E-02
     266   2.932323486176E-05   4.305909695652E-02
     267   3.357896071519E-05   4.930832945105E-02
     268   3.485350071943E-05   5.117990132491E-02
     269   3.322724024976E-05   4.879185281764E-02
     270   2.919214599671E-05   4.286660222745E-02
     271   2.387393864186E-05   3.505719077585E-02
     272   1.901335475887E-05   2.791976703425E-02
     273   1.629629580368E-05   2.392995808104E-02
     274   1.666475681141E-05   2.447101701713E-02
     275   1.989534938486E-05   2.921491377691E-02
     276   2.443256850214E-05   3.587749922510E-02
     277   2.794133822432E-05   4.102987945797E-02
     278   2.858289917528E-05   4.197196634986E-02
     279   2.610900569724E-05   3.833922870570E-02
     280   2.201669022837E-05   3.232995280617E-02
     281   1.880507458995E-05   2.761392233362E-02
     282   1.876896314780E-05   2.756089523425E-02
     283   2.289574825361E-05   3.362078735829E-02
     284   3.027678278284E-05   4.445931465351E-02
     285   3.847638091857E-05   5.649984472447E-02
     286   4.493719568578E-05   6.598709436766E-02
     287   4.841480520353E-05   7.109371804365E-02
     288   4.922389925938E-05   7.228181545385E-02
     289   4.828188274930E-05   7.089853081852E-02
     290   4.612279321040E-05   6.772806049928E-02
     291   4.285189243946E-05   6.292497400167E-02
     292   3.882600939341E-05   5.701324941764E-02
     293   3.498102585771E-05   5.136716297320E-02
     294   3.228460679976E-05   4.740766224967E-02
     295   3.110548320236E-05   4.567620262239E-02
     296   3.129418456382E-05   4.595329722867E-02
     297   3.269839124348E-05   4.801527544668E-02
     298   3.532055031935E-05   5.186573063744E-02
     299   3.890658483041E-05   5.713156874940E-02
     300   4.246498633103E-05   6.235682973947E-02
     301   4.436913926831E-05   6.515294368572E-02
     302   4.316809156457E-05   6.338929005854E-02
     303   3.848347022960E-05   5.651025487643E-02
     304   3.141152471483E-05   4.612560294334E-02
     305   2.419766838246E-05   3.553256500908E-02
     306   1.919660765348E-05   2.818886095223E-02
     307   1.766116791074E-05   2.593417626053E-02
     308   1.924118130767E-05   2.825431421160E-02
     309   2.241304920057E-05   3.291197793042E-02
     310   2.535447421932E-05   3.723125258308E-02
     311   2.667547922311E-05   3.917105502324E-02
     312   2.560208346116E-05   3.759484924635E-02
     313   2.194087904308E-05   3.221862944116E-02
     314   1.629526363978E-05   2.392844242135E-02
     315   1.032056610459E-05   1.515502156016E-02
     316   6.389116395860E-06   9.381965654634E-03
     317   6.478130294540E-06   9.512676270698E-03
     318   1.089246623636E-05   1.599481646477E-02
     319   1.791515669955E-05   2.630714083742E-02
     320   2.473194548564E-05   3.631711315650E-02
     321   2.863809253242E-05   4.205301389211E-02
     322   2.796546560645E-05   4.106530881259E-02
     323   2.288069277245E-05   3.359867944876E-02
     324   1.553702835692E-05   2.281502752308E-02
     325   8.975288642460E-06   1.317957673123E-02
     326   5.498851822783E-06   8.074675079437E-03
     327   5.699709274314E-06   8.369620044435E-03
     328   8.477898110050E-06   1.244919390473E-02
     329   1.175155789111E-05   1.725633181362E-02
     330   1.342122322457E-05   1.970811729423E-02
     331   1.231539552812E-05   1.808428751478E-02
     332   8.656088801295E-06   1.271085433501E-02
