# lag   C(lag)   C_norm(lag)
     494  -3.064018680677E-05  -4.499294776646E-02
     495  -3.246828179886E-05  -4.767737599824E-02
     496  -2.924047935182E-05  -4.293757634179E-02
     497  -1.954730724063E-05  -2.870383849808E-02
     498  -3.976274857000E-06  -5.838878466188E-03
     499   1.405259066490E-05   2.063523573654E-02
     500   2.950258635291E-05   4.332246193938E-02
     501   3.795700743157E-05   5.573718148357E-02
     502   3.734057406421E-05   5.483199267143E-02
     503   2.852136985080E-05   4.188161488758E-02
     504   1.478238572848E-05   2.170688818380E-02
     505   4.658518235826E-07   6.840704626750E-04
     506  -1.055420713348E-05  -1.549810689040E-02
     507  -1.605874676039E-05  -2.358113410801E-02
     508  -1.591952911403E-05  -2.337670283838E-02
     509  -1.161006706091E-05  -1.704856253426E-02
     510  -5.375374565508E-06  -7.893357458172E-03
     511   3.372679514810E-07   4.952541386245E-04
     512   3.445766372127E-06   5.059864268264E-03
     513   3.036275936863E-06   4.458556519036E-03
     514  -1.959072284447E-07  -2.876759124242E-04
     515  -4.548815076145E-06  -6.679613293839E-03
     516  -8.551547510627E-06  -1.255734284175E-02
     517  -1.169272841539E-05  -1.716994488835E-02
     518  -1.413426568879E-05  -2.075516973391E-02
     519  -1.592838236578E-05  -2.338970321255E-02
     520  -1.670021615875E-05  -2.452308656137E-02
     521  -1.614853075549E-05  -2.371297555622E-02
     522  -1.477626815061E-05  -2.169790495327E-02
     523  -1.390272997381E-05  -2.041517590828E-02
     524  -1.462729625163E-05  -2.147915025337E-02
     525  -1.669383158635E-05  -2.451371126825E-02
     526  -1.861024590688E-05  -2.732783018882E-02
     527  -1.883743511537E-05  -2.766144147700E-02
     528  -1.671602718887E-05  -2.454630394111E-02
     529  -1.228905856771E-05  -1.804561355068E-02
     530  -5.751291150404E-06  -8.445364382132E-03
     531   2.404933737991E-06   3.531475142028E-03
     532   1.090006283046E-05   1.600597152605E-02
     533   1.781999155725E-05   2.616739755505E-02
     534   2.148356096927E-05   3.154709018660E-02
     535   2.106818077078E-05   3.093713373654E-02
     536   1.651211892498E-05   2.424687907388E-02
     537   8.374873023352E-06   1.229790884979E-02
     538  -1.863990929984E-06  -2.737138878389E-03
     539  -1.174987792783E-05  -1.725386490633E-02
     540  -1.872481844119E-05  -2.749607185406E-02
     541  -2.151809150349E-05  -3.159779583447E-02
     542  -2.084872634170E-05  -3.061488042501E-02
     543  -1.883087300998E-05  -2.765180548924E-02
     544  -1.762818414661E-05  -2.588574193519E-02
     545  -1.823901857184E-05  -2.678270909669E-02
     546  -2.020582686042E-05  -2.967082799599E-02
     547  -2.224381873167E-05  -3.266347495308E-02
     548  -2.284763051749E-05  -3.355012986519E-02
     549  -2.057878691573E-05  -3.021849346532E-02
     550  -1.462692994014E-05  -2.147861235085E-02
     551  -5.501171920815E-06  -8.078081979344E-03
     552   4.940941078125E-06   7.255422600625E-03
     553   1.423108667332E-05   2.089734450349E-02
     554   2.025337149063E-05   2.974064392359E-02
     555   2.194539716281E-05   3.222526398051E-02
     556   1.964331550627E-05   2.884481984745E-02
     557   1.498494233997E-05   2.200432824505E-02
     558   1.010756945014E-05   1.484225103404E-02
     559   6.490371513276E-06   9.530651634839E-03
     560   4.291762721845E-06   6.302150087652E-03
     561   2.576558422666E-06   3.783493855938E-03
     562   2.326646947553E-07   3.416516525908E-04
     563  -2.958083387992E-06  -4.343736289992E-03
     564  -5.976447258667E-06  -8.775990206389E-03
     565  -7.378909644824E-06  -1.083540705273E-02
     566  -6.487466918116E-06  -9.526386442229E-03
     567  -3.784998732601E-06  -5.558003002592E-03
     568  -2.576118118241E-07  -3.782847300025E-04
     569   3.564303494221E-06   5.233927650331E-03
     570   7.921413524254E-06   1.163203563937E-02
     571   1.320278022282E-05   1.938734919221E-02
     572   1.912142549337E-05   2.807846126621E-02
     573   2.456601985140E-05   3.607346309518E-02
     574   2.807445767090E-05   4.122535595243E-02
     575   2.838680768394E-05   4.168401986041E-02
     576   2.493072408836E-05   3.660900547902E-02
     577   1.824878914802E-05   2.679705649694E-02
     578   9.936545383721E-06   1.459111428557E-02
     579   2.010699256986E-06   2.952569682885E-03
     580  -3.768677934054E-06  -5.534037063965E-03
     581  -6.344412056318E-06  -9.316320493049E-03
     582  -5.577481744437E-06  -8.190137559485E-03
     583  -2.297533083791E-06  -3.373764875607E-03
     584   1.927964425775E-06   2.831079433409E-03
     585   5.355515443711E-06   7.864195742047E-03
     586   6.498464708834E-06   9.542535920248E-03
     587   4.377689222460E-06   6.428327077965E-03
     588  -1.079857437649E-06  -1.585694290762E-03
     589  -8.544913703080E-06  -1.254760156444E-02
     590  -1.518632674104E-05  -2.230004699818E-02
     591  -1.758743529562E-05  -2.582590512884E-02
     592  -1.337163097526E-05  -1.963529458277E-02
