# lag   <C(lag)>_blocks   <C_norm(lag)>_blocks
     108   1.756575248706E-04   1.813596590263E-01
     109   1.764245174107E-04   1.825735506785E-01
     110   1.758007548662E-04   1.822730833327E-01
     111   1.750262168834E-04   1.816792964245E-01
     112   1.747682467750E-04   1.814477279947E-01
     113   1.740060111461E-04   1.800201697326E-01
     114   1.709764400967E-04   1.747288482747E-01
     115   1.670776835657E-04   1.685618336810E-01
     116   1.642285148239E-04   1.637068022656E-01
     117   1.628255736486E-04   1.607553751272E-01
     118   1.606328297938E-04   1.574971852135E-01
     119   1.593254386564E-04   1.549751626494E-01
     120   1.583712707947E-04   1.529827375705E-01
     121   1.572251188068E-04   1.502976565188E-01
     122   1.570925059478E-04   1.493250043844E-01
     123   1.549281698043E-04   1.456481711039E-01
     124   1.531449385413E-04   1.423805124268E-01
     125   1.503793230393E-04   1.381547674389E-01
     126   1.477204544006E-04   1.346224761143E-01
     127   1.450614296143E-04   1.313526439016E-01
     128   1.426192675920E-04   1.289653023698E-01
     129   1.405073461740E-04   1.263889039306E-01
     130   1.384401273096E-04   1.241325826678E-01
     131   1.368478922822E-04   1.233727706158E-01
     132   1.360915231916E-04   1.234755794161E-01
     133   1.354791621774E-04   1.232951583810E-01
     134   1.335728570456E-04   1.210531912290E-01
     135   1.323343313139E-04   1.202544974209E-01
     136   1.309686824333E-04   1.197848351014E-01
     137   1.299003832908E-04   1.196439276078E-01
     138   1.292297075199E-04   1.197927351334E-01
     139   1.274893481478E-04   1.195025232102E-01
     140   1.257761998627E-04   1.191100139158E-01
     141   1.245033202962E-04   1.192841611013E-01
     142   1.234901933304E-04   1.193113399986E-01
     143   1.211820090841E-04   1.180063102813E-01
     144   1.190871007097E-04   1.164772208570E-01
     145   1.178829356778E-04   1.159424342891E-01
     146   1.155647409295E-04   1.138254612856E-01
     147   1.124102794616E-04   1.101086191820E-01
     148   1.087925093982E-04   1.061172864799E-01
     149   1.043046134650E-04   1.008464148096E-01
     150   1.014297402124E-04   9.745227381253E-02
     151   9.879266218127E-05   9.444291812090E-02
     152   9.524600598005E-05   9.058251660191E-02
     153   9.256911113293E-05   8.751827143076E-02
     154   8.989987415447E-05   8.470319507092E-02
     155   8.798250308342E-05   8.295099976552E-02
     156   8.647905771012E-05   8.177560411488E-02
     157   8.428976139500E-05   8.004073772657E-02
     158   8.294735012212E-05   7.935157591789E-02
     159   8.189721254651E-05   7.932507122273E-02
     160   8.057058872777E-05   7.871678704215E-02
     161   7.906817993819E-05   7.808594086825E-02
     162   7.787267617955E-05   7.837731471163E-02
     163   7.682916516713E-05   7.866862550852E-02
     164   7.588748560649E-05   7.845930703552E-02
     165   7.338289511668E-05   7.590352084219E-02
     166   7.110619737548E-05   7.354140751378E-02
     167   6.909432548357E-05   7.188554807121E-02
     168   6.844214777802E-05   7.160423592917E-02
     169   6.743253248602E-05   7.060314290118E-02
     170   6.520809490375E-05   6.854436058208E-02
     171   6.303494538950E-05   6.625320279654E-02
     172   6.120043268220E-05   6.501078523989E-02
     173   5.973310053483E-05   6.433199104863E-02
     174   5.726560544299E-05   6.151487030949E-02
     175   5.485580652875E-05   5.855279586414E-02
     176   5.285646785461E-05   5.585428344827E-02
     177   5.178022061443E-05   5.414191858607E-02
     178   5.151317104531E-05   5.328251563757E-02
     179   5.235207559859E-05   5.311628650982E-02
     180   5.301394429226E-05   5.259833719683E-02
     181   5.418666277425E-05   5.278452963671E-02
     182   5.550333245446E-05   5.333882440790E-02
     183   5.672360305437E-05   5.392542302853E-02
     184   5.681248570966E-05   5.292944694470E-02
     185   5.734965929255E-05   5.194130999899E-02
     186   5.840673662858E-05   5.167086971427E-02
     187   5.967976149999E-05   5.192922687550E-02
     188   6.100932082739E-05   5.278261919048E-02
     189   6.285553028241E-05   5.407887458197E-02
     190   6.450098840744E-05   5.596235275412E-02
     191   6.576943658662E-05   5.779181238334E-02
     192   6.684103909829E-05   5.898842261256E-02
     193   6.737862999691E-05   5.991336503680E-02
     194   6.711782873357E-05   6.010784962077E-02
     195   6.737474653806E-05   6.115556883258E-02
     196   6.849686935842E-05   6.372805193123E-02
     197   6.921479190554E-05   6.554086405852E-02
     198   6.906012040943E-05   6.624416298973E-02
     199   6.943043699622E-05   6.737724712072E-02
     200   7.047205374278E-05   6.980998840374E-02
     201   7.195244027823E-05   7.382739538488E-02
     202   7.312967708055E-05   7.763972695048E-02
     203   7.480890569003E-05   8.224768720627E-02
     204   7.565719323005E-05   8.620086609559E-02
     205   7.637382473749E-05   9.020097135581E-02
     206   7.812512684247E-05   9.571150233486E-02
     207   7.939657989847E-05   9.972571763174E-02
     208   8.086087018286E-05   1.039636655671E-01
     209   8.151230498881E-05   1.073550814161E-01
     210   8.160414020126E-05   1.096045244291E-01
     211   8.119912520652E-05   1.110096196476E-01
     212   8.103737813181E-05   1.127399879687E-01
     213   8.088117500621E-05   1.143832497695E-01
     214   8.174102958492E-05   1.174249303964E-01
     215   8.208719262534E-05   1.198412643405E-01
     216   8.193726377225E-05   1.216742864277E-01
     217   8.141842036462E-05   1.229269486117E-01
     218   8.040850444200E-05   1.234803637435E-01
     219   7.894730159154E-05   1.228480026000E-01
     220   7.616535836445E-05   1.204031611921E-01
     221   7.352873021178E-05   1.180737122634E-01
     222   6.983678635434E-05   1.141162673415E-01
     223   6.589505495884E-05   1.095840001946E-01
     224   6.308483433589E-05   1.062457105503E-01
     225   6.040927744822E-05   1.031770737688E-01
