# lag   <C(lag)>_blocks   <C_norm(lag)>_blocks
     130   5.895989003502E-06   1.200454347398E-02
     131   5.587952855987E-06   1.172948205847E-02
     132   2.843140424084E-06   7.757408805167E-03
     133  -2.585813845259E-06  -2.721323772540E-04
     134  -1.011126540852E-05  -1.146273836287E-02
     135  -1.792003901850E-05  -2.309306900255E-02
     136  -2.352445223604E-05  -3.143812395576E-02
     137  -2.518902000570E-05  -3.389288598350E-02
     138  -2.287180119880E-05  -3.037630107499E-02
     139  -1.789730487447E-05  -2.286574796356E-02
     140  -1.178107234017E-05  -1.365847131757E-02
     141  -5.452661544168E-06  -4.196395037441E-03
     142   5.099312138493E-07   4.610814162844E-03
     143   5.324148409461E-06   1.158520522607E-02
     144   7.993514966436E-06   1.527989866559E-02
     145   7.981784896882E-06   1.497819701675E-02
     146   5.854392635051E-06   1.162050498692E-02
     147   3.289960182538E-06   7.765653628926E-03
     148   2.198662746265E-06   6.228034373589E-03
     149   3.231073430816E-06   7.853906238755E-03
     150   4.980706237531E-06   1.038953847056E-02
     151   5.017426090214E-06   1.010536223537E-02
     152   1.966000331616E-06   4.968148888307E-03
     153  -3.348813130260E-06  -3.633123311465E-03
     154  -8.643688551538E-06  -1.205061228036E-02
     155  -1.199730840248E-05  -1.722408648893E-02
     156  -1.304837325145E-05  -1.858437473816E-02
     157  -1.263771953079E-05  -1.750959673306E-02
     158  -1.179263944922E-05  -1.571880642584E-02
     159  -1.135750614624E-05  -1.464578934382E-02
     160  -1.202016060818E-05  -1.542938821070E-02
     161  -1.384742309126E-05  -1.817757420710E-02
     162  -1.609549763377E-05  -2.169978025560E-02
     163  -1.812076181525E-05  -2.496356889990E-02
     164  -2.017651068878E-05  -2.835198538197E-02
     165  -2.287936040015E-05  -3.281274863261E-02
     166  -2.611533713123E-05  -3.813212446225E-02
     167  -2.855728215571E-05  -4.218012484168E-02
     168  -2.845896125144E-05  -4.216061859470E-02
     169  -2.513584578023E-05  -3.694647278939E-02
     170  -1.958551960629E-05  -2.808430666286E-02
     171  -1.356965315834E-05  -1.838732410908E-02
     172  -8.502376075708E-06  -1.016957933808E-02
     173  -4.901602740632E-06  -4.318247277252E-03
     174  -2.084341142237E-06   2.107065241159E-04
     175   1.521086031617E-06   5.857546140216E-03
     176   7.183358953929E-06   1.454956026272E-02
     177   1.458608729351E-05   2.573244002606E-02
     178   2.165189438218E-05   3.617954982006E-02
     179   2.544429879553E-05   4.143510389340E-02
     180   2.366582199675E-05   3.809739659163E-02
     181   1.623717120892E-05   2.617176769320E-02
     182   5.849523561871E-06   9.854565648680E-03
     183  -3.157640027017E-06  -4.207100157133E-03
     184  -7.258529383464E-06  -1.065985824151E-02
     185  -5.912741248323E-06  -8.753266623693E-03
     186  -1.575473941700E-06  -2.337397710085E-03
     187   2.423023799970E-06   3.449429044297E-03
     188   4.049316937029E-06   5.570740244370E-03
     189   3.045633277194E-06   3.788338990771E-03
     190   1.624910289770E-07  -6.331100717563E-04
     191  -3.732059556301E-06  -6.356572739604E-03
     192  -7.875702375467E-06  -1.228597015600E-02
     193  -1.152128660669E-05  -1.737046697964E-02
     194  -1.418859447567E-05  -2.094938198370E-02
     195  -1.575150432012E-05  -2.287763410523E-02
     196  -1.604878534731E-05  -2.295669572535E-02
     197  -1.467483126901E-05  -2.062463712222E-02
     198  -1.145293073465E-05  -1.563685396174E-02
     199  -7.047048494139E-06  -8.965540030924E-03
     200  -2.834814641376E-06  -2.644431028875E-03
     201  -2.880663567553E-07   1.112561245390E-03
     202  -5.157972148319E-07   5.993145909872E-04
     203  -3.751433932405E-06  -4.569838561785E-03
     204  -8.778667448639E-06  -1.257053887584E-02
     205  -1.318766128994E-05  -1.974495830895E-02
     206  -1.483888150082E-05  -2.279565251511E-02
     207  -1.336088841297E-05  -2.105373882672E-02
     208  -1.010148532096E-05  -1.644226227619E-02
     209  -6.882960167570E-06  -1.166494651037E-02
     210  -4.501407011016E-06  -7.955366741084E-03
     211  -2.348608741864E-06  -4.464076421300E-03
     212   6.814312945486E-07   4.036693201019E-04
     213   5.039400706445E-06   7.249399031185E-03
     214   1.008724925642E-05   1.502616779328E-02
     215   1.473001887955E-05   2.203221251989E-02
     216   1.827699616560E-05   2.726048991261E-02
     217   2.049379418599E-05   3.047648732693E-02
     218   2.131695765213E-05   3.173599840283E-02
     219   2.063355222669E-05   3.094154162367E-02
     220   1.839441013559E-05   2.794514604360E-02
     221   1.487964223369E-05   2.300032954839E-02
     222   1.080857323780E-05   1.706067269092E-02
     223   7.264424290355E-06   1.175325770776E-02
     224   5.141227898042E-06   8.498294460407E-03
     225   4.532136611028E-06   7.488835827332E-03
     226   5.024287190456E-06   8.107829306906E-03
     227   6.350710788422E-06   9.936656445050E-03
     228   8.453261070984E-06   1.286815872922E-02
     229   1.114346475779E-05   1.661263740111E-02
     230   1.397130604605E-05   2.052029273060E-02
     231   1.641170440976E-05   2.386315376994E-02
     232   1.789863364334E-05   2.584223392750E-02
     233   1.794680451663E-05   2.572787139851E-02
     234   1.643313767279E-05   2.329037599259E-02
     235   1.363016317196E-05   1.889492521128E-02
     236   9.997045849123E-06   1.322530979734E-02
     237   6.233352173508E-06   7.372221211471E-03
     238   3.513867841196E-06   3.158439963036E-03
     239   3.207865849157E-06   2.665062484235E-03
     240   6.025276929724E-06   6.944817060790E-03
     241   1.125438788068E-05   1.492600573276E-02
     242   1.691943223731E-05   2.367241681206E-02
     243   2.071103464318E-05   2.973158888697E-02
     244   2.110164414887E-05   3.077824100454E-02
     245   1.798075662790E-05   2.659454542182E-02
     246   1.227846977509E-05   1.852606052088E-02
     247   5.184316344721E-06   8.315115392979E-03
     248  -2.022409556664E-06  -2.149253463594E-03
     249  -7.998252765174E-06  -1.086879374262E-02
     250  -1.183115816760E-05  -1.650161796440E-02
     251  -1.356383287102E-05  -1.916119276783E-02
     252  -1.405930710716E-05  -2.017079360969E-02
     253  -1.427451360428E-05  -2.091227171618E-02
     254  -1.443095057051E-05  -2.158331523478E-02
     255  -1.393184937547E-05  -2.116933149826E-02
     256  -1.223857910723E-05  -1.885732333352E-02
     257  -9.926592856801E-06  -1.562558890907E-02
     258  -8.689843852693E-06  -1.416909145465E-02
     259  -1.002860951887E-05  -1.682486672799E-02
     260  -1.395327465758E-05  -2.355895896575E-02
     261  -1.892628173729E-05  -3.189444662332E-02
     262  -2.288353867656E-05  -3.853397593380E-02
     263  -2.432532300608E-05  -4.108974311340E-02
     264  -2.283063111984E-05  -3.887958018530E-02
     265  -1.909288973240E-05  -3.295497761106E-02
     266  -1.452379872068E-05  -2.548171655903E-02
     267  -1.047104211520E-05  -1.854583660264E-02
     268  -7.833018290651E-06  -1.357984419406E-02
     269  -7.116245579557E-06  -1.146482846683E-02
     270  -8.467345229796E-06  -1.257043377313E-02
     271  -1.140637115284E-05  -1.632538519586E-02
     272  -1.480553239468E-05  -2.116975955007E-02
     273  -1.735907008342E-05  -2.522806505686E-02
     274  -1.796910338393E-05  -2.679580909926E-02
