# lag   C(lag)   C_norm(lag)
      56   5.425487729887E-04   5.528346751621E-01
      57   5.369957629118E-04   5.471763884331E-01
      58   5.319839391121E-04   5.420695480526E-01
      59   5.272742520742E-04   5.372705724888E-01
      60   5.228884773150E-04   5.328016500895E-01
      61   5.188091908979E-04   5.286450265866E-01
      62   5.138250874435E-04   5.235664320871E-01
      63   5.089006672467E-04   5.185486523493E-01
      64   5.035215240537E-04   5.130675287568E-01
      65   4.987792809010E-04   5.082353798636E-01
      66   4.934284295897E-04   5.027830845240E-01
      67   4.876531126984E-04   4.968982763804E-01
      68   4.833177482977E-04   4.924807200435E-01
      69   4.784884496413E-04   4.875598652063E-01
      70   4.738655936004E-04   4.828493668236E-01
      71   4.685878074105E-04   4.774715218093E-01
      72   4.632760934355E-04   4.720591057905E-01
      73   4.580339517470E-04   4.667175810432E-01
      74   4.537545059264E-04   4.623570034179E-01
      75   4.497978908786E-04   4.583253769474E-01
      76   4.458314092921E-04   4.542836968837E-01
      77   4.420235063335E-04   4.504036018582E-01
      78   4.381100908088E-04   4.464159939084E-01
      79   4.337654660553E-04   4.419890016564E-01
      80   4.291269991101E-04   4.372625964103E-01
      81   4.249894132456E-04   4.330465681909E-01
      82   4.208420618738E-04   4.288205893249E-01
      83   4.159305859161E-04   4.238159992294E-01
      84   4.109017350552E-04   4.186918089804E-01
      85   4.059660950167E-04   4.136625966898E-01
      86   4.016067346060E-04   4.092205894149E-01
      87   3.981338777987E-04   4.056818925078E-01
      88   3.959118047324E-04   4.034176923051E-01
      89   3.929118819394E-04   4.003608955241E-01
      90   3.895033942777E-04   3.968877881040E-01
      91   3.854505676691E-04   3.927581260474E-01
      92   3.812958626128E-04   3.885246540823E-01
      93   3.777468782075E-04   3.849083863133E-01
      94   3.742359652358E-04   3.813309117545E-01
      95   3.700453586395E-04   3.770608576105E-01
      96   3.662564659940E-04   3.732001333049E-01
      97   3.613412606329E-04   3.681917431021E-01
      98   3.564711684905E-04   3.632293213963E-01
      99   3.523146418728E-04   3.589939933357E-01
     100   3.493027148858E-04   3.559249647794E-01
     101   3.461165739567E-04   3.526784194489E-01
     102   3.434577024521E-04   3.499691397716E-01
     103   3.418287193122E-04   3.483092735811E-01
     104   3.401188871764E-04   3.465670256204E-01
     105   3.387432143935E-04   3.451652721671E-01
     106   3.381510282813E-04   3.445618591041E-01
     107   3.376454643533E-04   3.440467104504E-01
     108   3.372405472819E-04   3.436341167653E-01
     109   3.370883212203E-04   3.434790047283E-01
     110   3.359427076228E-04   3.423116720339E-01
     111   3.343238276911E-04   3.406621005931E-01
     112   3.333718941456E-04   3.396921198308E-01
     113   3.324096563859E-04   3.387116395020E-01
     114   3.294793619923E-04   3.357257911694E-01
     115   3.255148621444E-04   3.316861304150E-01
     116   3.220240400628E-04   3.281291276391E-01
     117   3.197436743489E-04   3.258055296486E-01
     118   3.172998040266E-04   3.233153272502E-01
     119   3.150444341148E-04   3.210171989442E-01
     120   3.129536409999E-04   3.188867675618E-01
     121   3.111475257418E-04   3.170464110966E-01
     122   3.099267951312E-04   3.158025372844E-01
     123   3.071040020227E-04   3.129262282982E-01
     124   3.044330280536E-04   3.102046167121E-01
     125   3.010854353631E-04   3.067935587396E-01
     126   2.978657211985E-04   3.035128036758E-01
     127   2.947405374330E-04   3.003283711642E-01
     128   2.919723882684E-04   2.975077420884E-01
     129   2.897627365567E-04   2.952561987302E-01
     130   2.875555294134E-04   2.930071462859E-01
     131   2.856531876460E-04   2.910687390027E-01
     132   2.843198484388E-04   2.897101217056E-01
     133   2.828250112848E-04   2.881869447055E-01
     134   2.809015072353E-04   2.862269739355E-01
     135   2.791724513798E-04   2.844651378024E-01
     136   2.769701634018E-04   2.822210977832E-01
     137   2.754109865452E-04   2.806323612973E-01
     138   2.741200853548E-04   2.793169865775E-01
     139   2.721400629350E-04   2.772994259345E-01
     140   2.697192670198E-04   2.748327353990E-01
     141   2.674434985363E-04   2.725138217954E-01
     142   2.653222259868E-04   2.703523331344E-01
     143   2.622395917867E-04   2.672112568635E-01
     144   2.593111877389E-04   2.642273347147E-01
     145   2.570021324459E-04   2.618745032341E-01
     146   2.537822778901E-04   2.585936051176E-01
     147   2.504271791932E-04   2.551748988361E-01
     148   2.462921698469E-04   2.509614959816E-01
     149   2.413151259109E-04   2.458900948384E-01
     150   2.371787504772E-04   2.416752999977E-01
     151   2.331145946081E-04   2.375340938950E-01
     152   2.285222705511E-04   2.328547063363E-01
     153   2.245312686214E-04   2.287880410608E-01
     154   2.207495761689E-04   2.249346534528E-01
     155   2.174241700342E-04   2.215462026596E-01
     156   2.143972008166E-04   2.184618466948E-01
