# lag   C(lag)   C_norm(lag)
     138   1.507531072804E+01   3.932255048465E-02
     139   1.719964665619E+01   4.486368381771E-02
     140   2.021045915798E+01   5.271710911268E-02
     141   2.360573490483E+01   6.157337114095E-02
     142   2.684690507499E+01   7.002766305868E-02
     143   2.931671043497E+01   7.646992137809E-02
     144   3.055474730449E+01   7.969922578060E-02
     145   3.054487087068E+01   7.967346401861E-02
     146   2.978911304613E+01   7.770213979543E-02
     147   2.911829163141E+01   7.595236432332E-02
     148   2.922301160260E+01   7.622551666014E-02
     149   3.005569359186E+01   7.839749043576E-02
     150   3.070540821157E+01   8.009221078978E-02
     151   3.008612392203E+01   7.847686513097E-02
     152   2.790589415357E+01   7.278993789709E-02
     153   2.502613235325E+01   6.527834620788E-02
     154   2.285116685091E+01   5.960515032417E-02
     155   2.232097762085E+01   5.822220086850E-02
     156   2.337177423893E+01   6.096310643315E-02
     157   2.517834794121E+01   6.567538645801E-02
     158   2.678562753574E+01   6.986782627827E-02
     159   2.750782441108E+01   7.175160987666E-02
     160   2.702393384078E+01   7.048942618288E-02
     161   2.552210411486E+01   6.657204256923E-02
     162   2.366965489381E+01   6.174010050653E-02
     163   2.206006833271E+01   5.754164317784E-02
     164   2.070406231192E+01   5.400462718051E-02
     165   1.919735074453E+01   5.007450973594E-02
     166   1.738055444800E+01   4.533556502167E-02
     167   1.582864696838E+01   4.128755822992E-02
     168   1.556448463353E+01   4.059851526849E-02
     169   1.719077093265E+01   4.484053231567E-02
     170   2.042053331842E+01   5.326506808538E-02
     171   2.438526920365E+01   6.360671409308E-02
     172   2.808664047634E+01   7.326139792403E-02
     173   3.073613429080E+01   8.017235691901E-02
     174   3.221163704830E+01   8.402106907618E-02
     175   3.321164617506E+01   8.662950017795E-02
     176   3.466232304919E+01   9.041345631983E-02
     177   3.685351757197E+01   9.612898409886E-02
     178   3.901929979047E+01   1.017782262380E-01
     179   3.968845657753E+01   1.035236596832E-01
     180   3.762396184376E+01   9.813861655816E-02
     181   3.277830027323E+01   8.549915756615E-02
     182   2.660416663599E+01   6.939450234350E-02
     183   2.140381960768E+01   5.582987921584E-02
     184   1.900791151958E+01   4.958037507952E-02
     185   1.964515959145E+01   5.124257759922E-02
     186   2.193050542860E+01   5.720369035354E-02
     187   2.401250324606E+01   6.263438864977E-02
     188   2.472563590373E+01   6.449452907670E-02
     189   2.389077157674E+01   6.231686287543E-02
     190   2.200370068560E+01   5.739461339590E-02
     191   1.977829903458E+01   5.158985949399E-02
     192   1.780727367992E+01   4.644862257932E-02
     193   1.635711333802E+01   4.266601376390E-02
     194   1.530335994384E+01   3.991739572289E-02
     195   1.439619749705E+01   3.755114657848E-02
     196   1.370887058115E+01   3.575831803667E-02
     197   1.369426145792E+01   3.572021149306E-02
     198   1.465672006550E+01   3.823069554667E-02
     199   1.628045475723E+01   4.246605696250E-02
     200   1.780797883319E+01   4.645046190626E-02
     201   1.854729959541E+01   4.837891157614E-02
     202   1.816309905678E+01   4.737676008825E-02
